,Te,ne,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9,nHp,nH2p,nH3p,nHm
3469,6.096272639432835,1.2389092624886204e+16,9.169630390958354e+18,7.358531689386718e+16,3.163495935366611e+20,4.8304848776419296e+17,1.6268500332596544e+17,1.1326430991001546e+17,8.799403847941965e+16,7.13620668931939e+16,5.39260202363115e+16,4.31281044022209e+16,3.3554650417671188e+16,2.6113378388190024e+16,3570197665433978.5,744184580641527.6,8211123890308275.0,136413511497576.23
3470,6.096272183793523,1.2389094326114882e+16,9.169643811407862e+18,7.358531797832984e+16,3.16349586797911e+20,4.830485317578253e+17,1.6268500278653293e+17,1.1326430750968952e+17,8.799403576697893e+16,7.136206398962813e+16,5.3926017917845624e+16,4.312810240519506e+16,3.3554648691187584e+16,2.6113376952132204e+16,3570200205556001.0,744184501506958.6,8211123116564938.0,136413497513015.78
3471,6.096271728273486,1.2389096026899066e+16,9.169657228354444e+18,7.35853190625147e+16,3.163495800609198e+20,4.830485757399523e+17,1.626850022472395e+17,1.1326430510998938e+17,8.799403305524563e+16,7.136206108681978e+16,5.392601559998453e+16,4.312810040869016e+16,3.3554646965154404e+16,2.6113375516449056e+16,3570202745014740.5,744184422393067.1,8211122343023375.0,136413483532115.2
3472,6.096271272872701,1.2389097727238846e+16,9.169670641798753e+18,7.358532014642181e+16,3.1634957332568716e+20,4.830486197105763e+17,1.6268500170808515e+17,1.1326430271091488e+17,8.799403034421963e+16,7.136205818476872e+16,5.3926013282728104e+16,4.3128098412706104e+16,3.355464523957157e+16,2.611337408114051e+16,3570205283810320.0,744184343299849.5,8211121569683550.0,136413469554873.8
3473,6.0962708175911455,1.2389099427134298e+16,9.169684051741439e+18,7.358532123005122e+16,3.1634956659221286e+20,4.830486636696993e+17,1.6268500116906982e+17,1.1326430031246595e+17,8.799402763390078e+16,7.136205528347482e+16,5.392601096607622e+16,4.312809641724281e+16,3.3554643514438988e+16,2.61133726462065e+16,3570207821942864.0,744184264227301.6,8211120796545423.0,136413455581290.89
3474,6.096270362428798,1.238910112658551e+16,9.169697458183154e+18,7.358532231340299e+16,3.163495598604965e+20,4.830487076173235e+17,1.6268500063019357e+17,1.1326429791464246e+17,8.799402492428898e+16,7.136205238293792e+16,5.392600865002879e+16,4.312809442230015e+16,3.3554641789756588e+16,2.611337121164695e+16,3570210359412495.0,744184185175419.8,8211120023608960.0,136413441611365.78
3475,6.096269907385635,1.2389102825592562e+16,9.169710861124549e+18,7.358532339647717e+16,3.1634955313053775e+20,4.830487515534511e+17,1.626850000914563e+17,1.1326429551744429e+17,8.799402221538406e+16,7.1362049483157896e+16,5.392600633458569e+16,4.312809242787806e+16,3.3554640065524276e+16,2.6113369777461796e+16,3570212896219337.0,744184106144200.0,8211119250874122.0,136413427645097.78
3476,6.096269452461634,1.2389104524155538e+16,9.169724260566274e+18,7.35853244792738e+16,3.163495464023363e+20,4.830487954780841e+17,1.62684999552858e+17,1.1326429312087133e+17,8.799401950718592e+16,7.13620465841346e+16,5.39260040197468e+16,4.312809043397643e+16,3.3554638341741972e+16,2.611336834365097e+16,3570215432363513.5,744184027133638.6,8211118478340871.0,136413413682486.23
3477,6.096268997656774,1.2389106222274522e+16,9.169737656508982e+18,7.358532556179291e+16,3.163495396758918e+20,4.8304883939122477e+17,1.6268499901439862e+17,1.1326429072492344e+17,8.799401679969442e+16,7.1362043685867896e+16,5.3926001705512024e+16,4.312808844059516e+16,3.3554636618409596e+16,2.611336691021439e+16,3570217967845148.0,744183948143731.5,8211117706009172.0,136413399723530.42
3478,6.096268542971032,1.2389107919949594e+16,9.169751048953325e+18,7.358532664403461e+16,3.16349532951204e+20,4.8304888329287526e+17,1.626849984760782e+17,1.1326428832960053e+17,8.79940140929094e+16,7.136204078835764e+16,5.392599939188124e+16,4.312808644773416e+16,3.355463489552706e+16,2.611336547715201e+16,3570220502664364.0,744183869174475.0,8211116933878986.0,136413385768229.67
