,Te,ne,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9,nHp,nH2p,nH3p,nHm
2399,6.233688437110861,1.189091723931962e+16,5.091315481003611e+18,7.296170745093133e+16,3.1843692870400495e+20,4.5091209278083136e+17,1.5353707283200016e+17,1.090251023032001e+17,8.596785688987755e+16,7.059494663711265e+16,5.373368186673431e+16,4.323179927913307e+16,3.3800071768740724e+16,2.6402117878390468e+16,2783851182975495.5,769489270214827.6,8463479736041576.0,125902949912280.6
2400,6.2336592485204605,1.1891020975272464e+16,5.092203645316958e+18,7.296240719482459e+16,3.1843642314137095e+20,4.50942195521946e+17,1.5355042434441757e+17,1.090325490821041e+17,8.597233244945858e+16,7.059761808695499e+16,5.373518101558347e+16,4.323265607338917e+16,3.380054456826982e+16,2.6402360416361588e+16,2784032692263748.5,769484026231224.9,8463424489824443.0,125920233046951.55
2401,6.233630066613362,1.189112468641265e+16,5.093091620420752e+18,7.296310550100658e+16,3.1843591776000587e+20,4.5097226014577594e+17,1.535637578592844e+17,1.0903998483974554e+17,8.597680073744118e+16,7.06002847510927e+16,5.3736677221147416e+16,4.323351098948501e+16,3.3801016184683744e+16,2.640260222604773e+16,2784214143728275.0,769478783019470.8,8463369256257414.0,125937496592509.28
2402,6.233600891386381,1.1891228372747728e+16,5.093979406353307e+18,7.296380237181445e+16,3.184354125597783e+20,4.5100228669861523e+17,1.5357707339835667e+17,1.09047409590622e+17,8.598126176411582e+16,7.060294663669085e+16,5.373817048803074e+16,4.323436403046959e+16,3.3801486619959036e+16,2.640284330869538e+16,2784395537411964.5,769473540579876.0,8463314035323570.0,125954740567682.14
2403,6.233571722836367,1.1891332034285104e+16,5.094867003152939e+18,7.296449780957194e+16,3.184349075405574e+20,4.510322752266696e+17,1.535903709833656e+17,1.0905482334920944e+17,8.598571553975333e+16,7.060560375089734e+16,5.373966082082479e+16,4.32352151993814e+16,3.380195587606423e+16,2.6403083665545012e+16,2784576873357530.0,769468298912758.0,8463258827006015.0,125971964991201.0
2404,6.233542560960211,1.1891435671032032e+16,5.095754410857974e+18,7.29651918165893e+16,3.184344027022124e+20,4.51062225776056e+17,1.5360365063601782e+17,1.0906222612996214e+17,8.599016207460478e+16,7.060825610084299e+16,5.374114822410769e+16,4.32360644992484e+16,3.380242395495985e+16,2.640332329783106e+16,2784758151607505.0,769463058018441.8,8463203631287884.0,125989169881799.14
2405,6.2335134057548345,1.1891539282995628e+16,5.096641629506741e+18,7.296588439516336e+16,3.184338980446126e+20,4.510921383928036e+17,1.536169123779952e+17,1.0906961794731274e+17,8.599460137890163e+16,7.0610903693641496e+16,5.374263270244429e+16,4.323691193308805e+16,3.380289085859841e+16,2.6403562206781948e+16,2784939372204245.0,769457817897259.1,8463148448152336.0,126006355258212.45
2406,6.233484257217202,1.1891642870182856e+16,5.097528659137576e+18,7.296657554757744e+16,3.1843339356762774e+20,4.511220131228526e+17,1.536301562309549e+17,1.0907699881567216e+17,8.599903346285562e+16,7.061354653638942e+16,5.3744114260386216e+16,4.3237757503907256e+16,3.3803356588924404e+16,2.6403800393620068e+16,2785120535189928.5,769452578549549.1,8463093277582559.0,126023521139179.22
2407,6.233455115344309,1.189174643260054e+16,5.098415499788818e+18,7.296726527610146e+16,3.184328892711277e+20,4.511518500120553e+17,1.5364338221652954e+17,1.090843687494297e+17,8.600345833665877e+16,7.061618463616622e+16,5.374559290247185e+16,4.3238601214702456e+16,3.3803821147874332e+16,2.6404037859561784e+16,2785301640606555.5,769447339975658.2,8463038119561766.0,126040667543440.27
2408,6.233425980133194,1.1891849970255346e+16,5.099302151498817e+18,7.296795358299182e+16,3.184323851549825e+20,4.5118164910617517e+17,1.5365659035632682e+17,1.0909172776295294e+17,8.600787601048349e+16,7.061881800003422e+16,5.374706863322631e+16,4.323944306845953e+16,3.380428453737667e+16,2.6404274605817444e+16,2785482688495947.5,769442102175939.6,8462982974073198.0,126057794489738.92
2409,6.233396851580926,1.1891953483153806e+16,5.100188614305921e+18,7.296864047049154e+16,3.1843188121906237e+20,4.512114104508877e+17,1.536697806719299e+17,1.090990758705879e+17,8.601228649448245e+16,7.062144663503864e+16,5.374854145716151e+16,4.324028306815385e+16,3.38047467593519e+16,2.640451063359137e+16,2785663678899749.0,769436865150754.0,8462927841100123.0,126074901996820.98
2410,6.233367729684614,1.1892056971302298e+16,5.10107488824849e+18,7.296932594083011e+16,3.184313774632379e+20,4.512411340917796e+17,1.5368295318489725e+17,1.0910641308665883e+17,8.601668979878866e+16,7.062407054820755e+16,5.375001137877608e+16,4.324112121675029e+16,3.3805207815712476e+16,2.6404745944081844e+16,2785844611859425.5,769431628900468.9,8462872720625837.0,126091990083434.75
2411,6.233338614441405,1.1892160434707052e+16,5.101960973364887e+18,7.297000999622362e+16,3.184308738873797e+20,4.512708200743495e+17,1.5369610791676253e+17,1.0911373942546835e+17,8.602108593351542e+16,7.0626689746551944e+16,5.375147840255542e+16,4.324195751720318e+16,3.380566770836285e+16,2.6404980538481144e+16,2786025487416265.0,769426393425459.1,8462817612633660.0,126109058768331.03
2412,6.233309505848481,1.1892263873374162e+16,5.10284686969348e+18,7.297069263887467e+16,3.1843037049135884e+20,4.5130046844400755e+17,1.5370924488903488e+17,1.0912105490129744e+17,8.602547490875637e+16,7.062930423706566e+16,5.3752942532971704e+16,4.324279197245635e+16,3.380612643919946e+16,2.6405214417975516e+16,2786206305611378.0,769421158726106.6,8462762517106941.0,126126108070263.1
2413,6.233280403903058,1.1892367287309566e+16,5.103732577272643e+18,7.29713738709724e+16,3.184298672750463e+20,4.513300792460754e+17,1.537223641231986e+17,1.0912835952840536e+17,8.602985673458547e+16,7.063191402672544e+16,5.375440377448383e+16,4.324362458544311e+16,3.3806584010110744e+16,2.640544758374517e+16,2786387066485695.5,769415924802800.5,8462707434029057.0,126143138007986.75
2414,6.233251308602396,1.1892470676519058e+16,5.104618096140756e+18,7.297205369469253e+16,3.184293642383135e+20,4.513596525257865e+17,1.5373546564071334e+17,1.0913565332102978e+17,8.603423142105696e+16,7.063451912249089e+16,5.375586213153749e+16,4.324445535908624e+16,3.3807040422977116e+16,2.6405680036964308e+16,2786567770079972.0,769410691655937.1,8462652363383409.0,126160148600260.25
